task,method,metric,mean,std,ci95_lo,ci95_hi,n
T1_anomaly,ecn_proposed__full,ap,0.1153933378137879,0.06783659858329148,0.04420319357116437,0.18658348205641143,6
T1_anomaly,ecn_proposed__full,roc_auc,0.7535094992952768,0.1028075258057079,0.6456196176652408,0.8613993809253128,6
T1_anomaly,ecn_proposed__full,f1,0.13086869240466212,0.09939386063076598,0.0265612326718819,0.23517615213744233,6
T1_anomaly,ecn_proposed__full,precision,0.2516034698994309,0.2153859658116693,0.02556976104324707,0.47763717875561473,6
T1_anomaly,ecn_proposed__full,recall,0.26735394450177735,0.3191465493988664,-0.06756981878721746,0.6022777077907722,6
T1_anomaly,ecn_proposed__full,brier,0.15712620303190625,0.06465362245101547,0.08927638738343142,0.22497601868038108,6
T1_anomaly,ecn_proposed__full,train_time_s,2.1407466500143832,0.04436319465550126,2.094190332443257,2.1873029675855094,6
T1_anomaly,ecn_proposed__full,precision_at_10,0.18333333333333335,0.11690451944500123,0.0606495641628359,0.3060171025038308,6
T1_anomaly,ecn_proposed__full,precision_at_50,0.06,0.03577708763999663,0.02245424913890541,0.09754575086109459,6
T1_anomaly,ecn_proposed__full,precision_at_100,0.05166666666666667,0.03816630276391292,0.011613588303155835,0.09171974503017752,6
T1_anomaly,ecn_proposed__full,precision_at_top1pct,0.13157894736842105,0.09266745716662636,0.03433041515922876,0.22882747957761335,6
T1_anomaly,ecn_proposed__full,fpr_at_recall_0_5,0.19313601607224987,0.12998483820966178,0.05672529420891742,0.3295467379355823,6
T1_anomaly,ecn_proposed__full,fpr_at_recall_0_8,0.42799930834570393,0.23536316118496542,0.18100081867961798,0.6749977980117898,6
T1_anomaly,ecn_proposed__full,peak_rss_delta_mb,1.5305989583333333,3.481830118036474,-2.123357659597385,5.184555576264052,6
T1_anomaly,xgboost__full,ap,0.047057858230966816,0.022561424312016777,0.023381095471120664,0.07073462099081297,6
T1_anomaly,xgboost__full,roc_auc,0.7010435058925485,0.10638712607011465,0.5893970641684629,0.812689947616634,6
T1_anomaly,xgboost__full,f1,0.05173560481417228,0.031484669853559244,0.018694470159488517,0.08477673946885605,6
T1_anomaly,xgboost__full,precision,0.038868465039021145,0.023965987918708305,0.013717703171812059,0.06401922690623023,6
T1_anomaly,xgboost__full,recall,0.10324934067194129,0.10076029821965465,-0.002492107366312238,0.20899078871019483,6
T1_anomaly,xgboost__full,brier,0.01453415028120654,0.004233102728396611,0.010091781410686205,0.018976519151726875,6
T1_anomaly,xgboost__full,train_time_s,0.2664958000338326,0.2099396129425247,0.04617768798597885,0.48681391208168634,6
T1_anomaly,xgboost__full,precision_at_10,0.06666666666666667,0.051639777949432225,0.012474043250217705,0.12085929008311563,6
T1_anomaly,xgboost__full,precision_at_50,0.03333333333333333,0.016329931618554522,0.016196121095757895,0.05047054557090877,6
T1_anomaly,xgboost__full,precision_at_100,0.03166666666666667,0.011690451944500121,0.019398289749616927,0.043935043583716415,6
T1_anomaly,xgboost__full,precision_at_top1pct,0.03508771929824561,0.027178830499701174,0.006565285921167206,0.06361015267532402,6
T1_anomaly,xgboost__full,fpr_at_recall_0_5,0.24549548590193096,0.11715920508432805,0.12254444054455425,0.36844653125930765,6
T1_anomaly,xgboost__full,fpr_at_recall_0_8,0.4830385604994276,0.20977549146393798,0.2628926833804752,0.70318443761838,6
T1_anomaly,xgboost__full,peak_rss_delta_mb,51.212239583333336,125.30033491515599,-80.28239756753456,182.70687673420124,6
T1_anomaly,catboost__full,ap,0.05283478460721717,0.03373231933762059,0.017434886477965608,0.08823468273646873,6
T1_anomaly,catboost__full,roc_auc,0.6703430061413135,0.0986054353858233,0.5668629479599698,0.7738230643226571,6
T1_anomaly,catboost__full,f1,0.060090082914902754,0.018522726096382055,0.040651674001328,0.07952849182847752,6
T1_anomaly,catboost__full,precision,0.08783155646215506,0.12080951846103725,-0.03895025784952934,0.21461337077383946,6
T1_anomaly,catboost__full,recall,0.16361727439513815,0.1497987937219386,0.006413081449908903,0.3208214673403674,6
T1_anomaly,catboost__full,brier,0.018578064398740705,0.005508802272847357,0.012796930960474686,0.024359197837006727,6
T1_anomaly,catboost__full,train_time_s,0.8733168000083728,0.10711933825601544,0.7609019487204367,0.9857316512963088,6
T1_anomaly,catboost__full,precision_at_10,0.08333333333333333,0.0752772652709081,0.004334688284138105,0.16233197838252855,6
T1_anomaly,catboost__full,precision_at_50,0.02666666666666667,0.010327955589886445,0.015828141983376877,0.03750519134995646,6
T1_anomaly,catboost__full,precision_at_100,0.028333333333333335,0.00983192080250175,0.01801536523455327,0.0386513014321134,6
T1_anomaly,catboost__full,precision_at_top1pct,0.043859649122807015,0.039619613300477946,0.002281414886388479,0.08543788335922556,6
T1_anomaly,catboost__full,fpr_at_recall_0_5,0.26984814340179536,0.13280076443751987,0.1304822881956308,0.40921399860795993,6
