task,ablation,ap_mean,ap_ci95_lo,ap_ci95_hi
T1_anomaly,full,0.1153933378137879,0.04420319357116437,0.18658348205641143
T1_anomaly,no_twin,0.11487407101621289,0.0428584541187579,0.1868896879136679
T1_anomaly,no_nbr,0.11591383002444056,0.051304552669142744,0.18052310737973837
T1_anomaly,telem_only,0.06855961705753613,0.014456095038118594,0.12266313907695367
T1_anomaly,twin_only,0.0282527649992812,0.012914145696084766,0.04359138430247763
T2_failure,full,0.015253811512895054,0.004348812929247419,0.026158810096542688
T2_failure,no_twin,0.013974939365520694,0.0027825986247242574,0.02516728010631713
T2_failure,no_nbr,0.013974939365520694,0.0027825986247242574,0.02516728010631713
T2_failure,telem_only,0.03589804293921416,-0.006550478734610135,0.07834656461303846
T2_failure,twin_only,0.013725746932869319,0.010092444677680662,0.017359049188057977
