task,ablation,ap_mean,ap_ci95_lo,ap_ci95_hi
T1_anomaly,full,0.05771284608153401,0.02143727948527227,0.09398841267779574
T1_anomaly,no_twin,0.06855961705753613,0.014456095038118594,0.12266313907695367
T1_anomaly,no_nbr,0.041428767091252046,0.012389110217090618,0.07046842396541347
T1_anomaly,telem_only,0.06855961705753613,0.014456095038118594,0.12266313907695367
T1_anomaly,twin_only,0.02814660683554648,0.014769175746858544,0.04152403792423442
T2_failure,full,0.0381064340665632,-0.0026241781121923435,0.07883704624531875
T2_failure,no_twin,0.03589804293921416,-0.006550478734610135,0.07834656461303846
T2_failure,no_nbr,0.025420314979086162,0.008429901553337248,0.04241072840483508
T2_failure,telem_only,0.03589804293921416,-0.006550478734610135,0.07834656461303846
T2_failure,twin_only,0.016774450692330255,0.00870428258492578,0.02484461879973473
