task,method,metric,mean,std,ci95_lo,ci95_hi,n
T1_anomaly,graphsage__full,train_time_s,16.814551066684846,0.09761375115738748,16.712111717276347,16.916990416093345,6
T1_anomaly,graphsage__full,precision_at_10,0.016666666666666666,0.040824829046386304,-0.026176363927271924,0.05950969726060526,6
T1_anomaly,graphsage__full,precision_at_50,0.0033333333333333335,0.008164965809277261,-0.005235272785454385,0.011901939452121053,6
T1_anomaly,graphsage__full,precision_at_100,0.008333333333333333,0.013291601358251259,-0.005615346843305415,0.022282013509972082,6
T1_anomaly,graphsage__full,precision_at_top1pct,0.008771929824561403,0.021486752129677003,-0.013777033645932593,0.0313208932950554,6
T1_anomaly,graphsage__full,fpr_at_recall_0_5,0.4645973958962888,0.20057089042480694,0.2541111551588241,0.6750836366337535,6
T1_anomaly,graphsage__full,fpr_at_recall_0_8,0.6585769407167338,0.27774918032353085,0.3670970519333239,0.9500568295001437,6
T1_anomaly,graphsage__full,peak_rss_delta_mb,,,,,0
T1_anomaly,xgboost__full,ap,0.047057858230966816,0.022561424312016777,0.023381095471120664,0.07073462099081297,6
T1_anomaly,xgboost__full,roc_auc,0.7010435058925485,0.10638712607011465,0.5893970641684629,0.812689947616634,6
T1_anomaly,xgboost__full,f1,0.05173560481417228,0.031484669853559244,0.018694470159488517,0.08477673946885605,6
T1_anomaly,xgboost__full,precision,0.038868465039021145,0.023965987918708305,0.013717703171812059,0.06401922690623023,6
T1_anomaly,xgboost__full,recall,0.10324934067194129,0.10076029821965465,-0.002492107366312238,0.20899078871019483,6
T1_anomaly,xgboost__full,brier,0.01453415028120654,0.004233102728396611,0.010091781410686205,0.018976519151726875,6
T1_anomaly,xgboost__full,train_time_s,0.2576115166496796,0.12604033609920998,0.12534029588270018,0.38988273741665896,6
T1_anomaly,xgboost__full,precision_at_10,0.06666666666666667,0.051639777949432225,0.012474043250217705,0.12085929008311563,6
T1_anomaly,xgboost__full,precision_at_50,0.03333333333333333,0.016329931618554522,0.016196121095757895,0.05047054557090877,6
T1_anomaly,xgboost__full,precision_at_100,0.03166666666666667,0.011690451944500121,0.019398289749616927,0.043935043583716415,6
T1_anomaly,xgboost__full,precision_at_top1pct,0.03508771929824561,0.027178830499701174,0.006565285921167206,0.06361015267532402,6
T1_anomaly,xgboost__full,fpr_at_recall_0_5,0.24549548590193096,0.11715920508432805,0.12254444054455425,0.36844653125930765,6
T1_anomaly,xgboost__full,fpr_at_recall_0_8,0.4830385604994276,0.20977549146393798,0.2628926833804752,0.70318443761838,6
T1_anomaly,xgboost__full,peak_rss_delta_mb,51.129557291666664,123.25094341461228,-78.21437537843079,180.4734899617641,6
T1_anomaly,catboost__full,ap,0.05283478460721717,0.03373231933762059,0.017434886477965608,0.08823468273646873,6
T1_anomaly,catboost__full,roc_auc,0.6703430061413135,0.0986054353858233,0.5668629479599698,0.7738230643226571,6
T1_anomaly,catboost__full,f1,0.060090082914902754,0.018522726096382055,0.040651674001328,0.07952849182847752,6
T1_anomaly,catboost__full,precision,0.08783155646215506,0.12080951846103725,-0.03895025784952934,0.21461337077383946,6
T1_anomaly,catboost__full,recall,0.16361727439513815,0.1497987937219386,0.006413081449908903,0.3208214673403674,6
T1_anomaly,catboost__full,brier,0.018578064398740705,0.005508802272847357,0.012796930960474686,0.024359197837006727,6
T1_anomaly,catboost__full,train_time_s,0.8988489999901503,0.04834585073125377,0.8481131411916812,0.9495848587886194,6
T1_anomaly,catboost__full,precision_at_10,0.08333333333333333,0.0752772652709081,0.004334688284138105,0.16233197838252855,6
T1_anomaly,catboost__full,precision_at_50,0.02666666666666667,0.010327955589886445,0.015828141983376877,0.03750519134995646,6
T1_anomaly,catboost__full,precision_at_100,0.028333333333333335,0.00983192080250175,0.01801536523455327,0.0386513014321134,6
T1_anomaly,catboost__full,precision_at_top1pct,0.043859649122807015,0.039619613300477946,0.002281414886388479,0.08543788335922556,6
T1_anomaly,catboost__full,fpr_at_recall_0_5,0.26984814340179536,0.13280076443751987,0.1304822881956308,0.40921399860795993,6
T1_anomaly,catboost__full,fpr_at_recall_0_8,0.6017858355445517,0.2252870363331844,0.3653615904099664,0.8382100806791369,6
T1_anomaly,catboost__full,peak_rss_delta_mb,4.299479166666667,9.400222472676234,-5.5654493191109315,14.164407652444265,6
T1_anomaly,lightgbm__full,ap,0.05701072813907551,0.029386574041117212,0.026171410005884937,0.08785004627226609,6
T1_anomaly,lightgbm__full,roc_auc,0.6798340352824247,0.13159555407762272,0.5417329707815081,0.8179350997833413,6
T1_anomaly,lightgbm__full,f1,0.029860827997473957,0.03500307324097831,-0.006872644567498129,0.06659430056244604,6
T1_anomaly,lightgbm__full,precision,0.0205318138651472,0.02268297751053617,-0.0032725111533685527,0.04433613888366295,6
T1_anomaly,lightgbm__full,recall,0.081484348125215,0.13743639085703108,-0.06274629865882807,0.22571499490925806,6
T1_anomaly,lightgbm__full,brier,0.01387014988911778,0.004794800828304228,0.008838315013692534,0.018901984764543023,6
T1_anomaly,lightgbm__full,train_time_s,0.3500766666838899,0.07469290474134649,0.27169127040096513,0.4284620629668147,6
T1_anomaly,lightgbm__full,precision_at_10,0.08333333333333333,0.07527726527090811,0.004334688284138105,0.16233197838252855,6
T1_anomaly,lightgbm__full,precision_at_50,0.04,0.021908902300206645,0.017008017095164033,0.06299198290483597,6
T1_anomaly,lightgbm__full,precision_at_100,0.03333333333333333,0.018618986725025256,0.013793905085341611,0.052872761581325055,6
T1_anomaly,lightgbm__full,precision_at_top1pct,0.06140350877192982,0.06152869444473748,-0.003166896054647775,0.1259739135985074,6
T1_anomaly,lightgbm__full,fpr_at_recall_0_5,0.2531366094062465,0.16809057840936575,0.07673636569272757,0.4295368531197654,6
T1_anomaly,lightgbm__full,fpr_at_recall_0_8,0.5356708165888105,0.28261143720648396,0.2390883021421002,0.8322533310355209,6
T1_anomaly,lightgbm__full,peak_rss_delta_mb,4.307291666666667,6.391694910947754,-2.4003807722236976,11.01496410555703,6
T1_anomaly,gradient_boosting__full,ap,0.07303862111515218,0.021996038380217315,0.04995519450243219,0.09612204772787217,6
T1_anomaly,gradient_boosting__full,roc_auc,0.7589699842236176,0.08545700860901255,0.6692883537104218,0.8486516147368134,6
T1_anomaly,gradient_boosting__full,f1,0.11259844993715962,0.05768841205179834,0.0520581743209974,0.17313872555332183,6
T1_anomaly,gradient_boosting__full,precision,0.13737854737854735,0.07942173062275136,0.05403055268081376,0.22072654207628095,6
T1_anomaly,gradient_boosting__full,recall,0.10549607269808509,0.044928131295667896,0.058346890482485037,0.15264525491368514,6
T1_anomaly,gradient_boosting__full,brier,0.0325243476954633,0.020814493177668723,0.010680876728445917,0.05436781866248068,6
T1_anomaly,gradient_boosting__full,train_time_s,1.5842299166833982,0.02026286655310754,1.5629653423561107,1.6054944910106856,6
T1_anomaly,gradient_boosting__full,precision_at_10,0.18333333333333335,0.0752772652709081,0.10433468828413812,0.2623319783825286,6
T1_anomaly,gradient_boosting__full,precision_at_50,0.05666666666666667,0.0196638416050035,0.03603073046910654,0.0773026028642268,6
T1_anomaly,gradient_boosting__full,precision_at_100,0.041666666666666664,0.024013884872437167,0.01646564002917206,0.06686769330416127,6
T1_anomaly,gradient_boosting__full,precision_at_top1pct,0.12280701754385964,0.027178830499701174,0.09428458416678123,0.15132945092093805,6
T1_anomaly,gradient_boosting__full,fpr_at_recall_0_5,0.16998066560333427,0.08880613946551225,0.07678433780665238,0.26317699340001616,6
T1_anomaly,gradient_boosting__full,fpr_at_recall_0_8,0.43222450743426893,0.16964345802548658,0.2541946165071248,0.610254398361413,6
T1_anomaly,gradient_boosting__full,peak_rss_delta_mb,1.03515625,0.5721236225267446,0.43474933009403705,1.635563169905963,6
T1_anomaly,balanced_rf__full,ap,0.046742684204501,0.026211579109953125,0.01923531890856312,0.07425004950043888,6
T1_anomaly,balanced_rf__full,roc_auc,0.7751138331636761,0.06260982834586103,0.7094088478897597,0.8408188184375925,6
T1_anomaly,balanced_rf__full,f1,0.047605942158140464,0.03487850771434687,0.011003193096317816,0.0842086912199631,6
T1_anomaly,balanced_rf__full,precision,0.03190566975129567,0.03281935064497729,-0.002536126493786768,0.06634746599637811,6
T1_anomaly,balanced_rf__full,recall,0.3519665176011925,0.3381603296000461,-0.0029109842800689734,0.706844019482454,6
