task,method,auprc_mean,precision_at_10_mean,precision_at_50_mean,precision_at_100_mean,precision_at_top1pct_mean,fpr_at_recall_0_5_mean,fpr_at_recall_0_8_mean
T1_anomaly,ecn_proposed__full,0.11055333114528725,0.16666666666666666,0.06,0.04999999999999999,0.14035087719298245,0.19225928452744892,0.42861297428329914
T1_anomaly,tabnet__full,0.04924039895052987,0.08333333333333333,0.03,0.02,0.043859649122807015,0.3547862011673481,0.5981285708498641
T1_anomaly,graphsage__full,0.015248574137355265,0.016666666666666666,0.0033333333333333335,0.008333333333333333,0.008771929824561403,0.46459739589628885,0.6585769407167337
T1_anomaly,xgboost__full,0.047057858230966816,0.06666666666666667,0.03333333333333333,0.03166666666666667,0.03508771929824561,0.24549548590193102,0.4830385604994276
T1_anomaly,catboost__full,0.05283478460721717,0.08333333333333333,0.02666666666666667,0.028333333333333332,0.043859649122807015,0.26984814340179536,0.6017858355445517
T1_anomaly,lightgbm__full,0.057010728139075505,0.08333333333333333,0.04,0.03333333333333333,0.06140350877192982,0.2531366094062465,0.5356708165888107
T1_anomaly,gradient_boosting__full,0.07303862111515218,0.18333333333333335,0.056666666666666664,0.041666666666666664,0.12280701754385966,0.16998066560333425,0.43222450743426893
T1_anomaly,balanced_rf__full,0.046742684204500985,0.03333333333333333,0.03333333333333333,0.024999999999999998,0.02631578947368421,0.18293394225777196,0.36716819958938385
T1_anomaly,random_forest__full,0.07583814878524626,0.09999999999999999,0.03666666666666667,0.03166666666666667,0.06140350877192982,0.21956976428156783,0.3835169310828481
T1_anomaly,logistic__full,0.06312452036722811,0.06666666666666667,0.02,0.024999999999999998,0.043859649122807015,0.24724194382436593,0.3819567331015838
T1_anomaly,isolation_forest__full,0.05749706820671099,0.08333333333333333,0.03666666666666667,0.02666666666666667,0.05263157894736842,0.26727837774532953,0.5502038881561245
T1_anomaly,ewma__full,0.0402854466225632,0.13333333333333333,0.03666666666666666,0.02,0.07894736842105263,0.4220408764550709,0.7455814089298252
T2_failure,ecn_proposed__full,0.015253811512895054,0.0,0.013333333333333334,0.018333333333333333,0.008771929824561403,0.3105548204536987,0.6248393862722039
T2_failure,tabnet__full,0.01101700864525233,0.0,0.006666666666666667,0.006666666666666667,0.008771929824561403,0.30795258734946623,0.5689770321339164
T2_failure,graphsage__full,0.006217369879503418,0.0,0.01,0.006666666666666667,0.0,0.39595412268531044,0.6601666234945024
T2_failure,xgboost__full,0.011483776597058735,0.0,0.01,0.01,0.0,0.3101781742230773,0.6265744219897303
T2_failure,catboost__full,0.011651245672782562,0.016666666666666666,0.01,0.006666666666666667,0.008771929824561403,0.37888587248380223,0.6941102912825466
T2_failure,lightgbm__full,0.021289411217529686,0.016666666666666666,0.016666666666666666,0.018333333333333333,0.008771929824561403,0.4381323657640983,0.6715122957345444
T2_failure,gradient_boosting__full,0.012861823270577596,0.0,0.006666666666666667,0.008333333333333333,0.0,0.23825714842681642,0.4306240717183501
T2_failure,balanced_rf__full,0.01757603631139373,0.016666666666666666,0.01,0.006666666666666667,0.008771929824561403,0.1885718474087866,0.3673527240903149
T2_failure,random_forest__full,0.017610244849363122,0.0,0.02,0.013333333333333334,0.02631578947368421,0.2119890153166415,0.464328117971075
T2_failure,logistic__full,0.038043099063649714,0.05000000000000001,0.02,0.015,0.02631578947368421,0.2419989343846282,0.5504368537738195
T2_failure,isolation_forest__full,0.021636703949635936,0.016666666666666666,0.013333333333333334,0.015,0.008771929824561403,0.31157502035684287,0.5087585013224967
T2_failure,ewma__full,0.006561739982228432,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.515768140847286,0.8038586483825455
