task,ablation,ap_mean,ap_ci95_lo,ap_ci95_hi
T1_anomaly,full,0.09987388175137697,0.0657345487482214,0.13401321475453254
T1_anomaly,no_twin,0.0890002532970961,0.041131543656194425,0.13686896293799777
T1_anomaly,no_nbr,0.10196609215680262,0.05072787863884576,0.15320430567475948
T1_anomaly,telem_only,0.047270336397820835,0.007468916481026162,0.0870717563146155
T1_anomaly,twin_only,0.029676336319306412,0.015079800010369938,0.044272872628242886
T2_failure,full,0.013974939365520694,0.0027825986247242574,0.02516728010631713
T2_failure,no_twin,0.013974939365520694,0.0027825986247242574,0.02516728010631713
T2_failure,no_nbr,0.013974939365520694,0.0027825986247242574,0.02516728010631713
T2_failure,telem_only,0.038043099063649714,-0.002744734845844518,0.07883093297314395
T2_failure,twin_only,0.01366729530095867,0.009385121950878648,0.01794946865103869
